ct,r_cm,log10_value
2.5,0.7707428927,-4.829651579
2.5,0.7848918543,-5.004036039
2.5,0.7990306814,-5.183115516
2.5,0.8131695085,-5.356716518
2.5,0.8273084892,-5.529786296
2.5,0.8414574507,-5.708991891
2.5,0.8555959707,-5.889514078
2.5,0.8697349514,-6.085248735
2.5,0.8838839129,-6.290721205
2.5,0.89802274,-6.469332518
2.5,0.912171548,-6.63670407
2.5,0.9263103751,-6.784131829
2.5,0.9404492022,-6.93628709
2.5,0.9545981638,-7.063992718
2.5,0.9687371445,-7.189191278
2.5,0.982875818,-7.294291264
2.5,0.9970247796,-7.382015673
2.5,1.011163607,-7.462883865
2.5,1.025302434,-7.526907702
2.5,1.039451395,-7.593562812
2.5,1.053590069,-7.647317612
2.5,1.06772905,-7.690585534
2.5,1.081878011,-7.727278138
2.5,1.096016838,-7.761027997
2.5,1.110165493,-7.787451564
2.5,1.124304473,-7.809524071
2.5,1.1384433,-7.832534817
2.5,1.152582281,-7.854387573
2.5,1.166731243,-7.872483551
2.5,1.180869763,-7.887355884
2.5,1.195008743,-7.901786805
2.5,1.209157705,-7.913372435
2.5,1.223296532,-7.921950349
2.5,1.237435513,-7.930684954
2.5,1.251584167,-7.939232294
2.5,1.265722994,-7.945461743
2.5,1.279861975,-7.951910944
2.5,1.294010936,-7.955950531
2.5,1.308149763,-7.960771667
2.5,1.322288437,-7.966750792
2.5,1.336437552,-7.970664262
2.5,1.350576379,-7.974484099
2.5,1.364715206,-7.976926196
2.5,1.378863861,-7.979305235
2.5,1.393002688,-7.982217407
2.5,1.407141822,-7.983845472
2.5,1.421290784,-7.985693287
2.5,1.435429611,-7.987634735
2.5,1.449568131,-7.989450065
2.5,1.463717092,-7.990888954
2.5,1.477855919,-7.991609353
2.5,1.491995054,-7.99267371
2.5,1.506144015,-7.993143785
2.5,1.520282535,-7.993894758
2.5,1.534421362,-7.994364834
2.5,1.548570324,-7.995115807
2.5,1.562709151,-7.995992898
2.5,1.576847978,-7.996837505
