# ct=3 Nx=38
# r_cm T_keV E_over_aTkeV4 aluminum
0.07071067811865475 0.06144077460436634 0.02876049269617861 0
0.2121320343559643 0.05616929234745586 0.0252283122322859 0
0.3535533905932737 0.04785293417377724 0.02000690507806473 0
0.4949747468305832 0.03708983294569825 0.01283011827016669 0
0.6363961030678928 0.02877773530268213 0.00782333977486783 0
0.7778174593052023 0.07277769016642027 0.003389123501448326 1
0.9192388155425119 0.03098750677757512 0.0009641202126101775 1
1.060660171779821 0.01427182037681958 0.0003484492877520432 1
1.202081528017131 0.01106796149022621 2.248466149651962e-05 1
1.34350288425444 0.01033366421819816 4.682492438319386e-05 1
1.48492424049175 0.0100967300476538 4.590504890966134e-06 1
1.626345596729059 0.0100403722185268 5.359917002114615e-07 1
1.767766952966369 0.01002199566047734 9.95022651016451e-07 1
1.909188309203678 0.0100089915383036 1.359861069397859e-05 1
2.050609665440988 0.01000326392059193 2.650629226263138e-06 1
2.192031021678297 0.01000127673648933 2.993375626878542e-08 1
2.333452377915607 0.01000028682676714 4.857886964470957e-08 1
2.474873734152916 0.01000012593320023 2.676473503440012e-08 1
2.616295090390226 0.01000006702531721 9.192856178986111e-09 1
2.757716446627535 0.009999901290318153 3.387080530072416e-08 1
2.899137802864845 0.00999999875591286 9.631475937806283e-09 1
3.040559159102154 0.01000012834918764 1.17267778650964e-08 1
3.181980515339464 0.01000000448733531 1.392297072013827e-08 1
3.323401871576773 0.01000004679532353 2.664137815629643e-08 1
3.464823227814083 0.009999986074934814 9.146525411511864e-09 1
3.606244584051392 0.01000010021953614 1.674815216166397e-08 0
3.747665940288702 0.009999812075215293 1.058229193531823e-08 0
3.889087296526011 0.009999713979536157 1.111263688109427e-08 0
4.030508652763321 0.0100000260800114 1.083433156314377e-08 0
4.17193000900063 0.009999852720359432 2.716197583223637e-09 0
4.313351365237939 0.01000008289178269 1.049118325060142e-08 0
4.454772721475249 0.009999994025666443 1.416218431321163e-08 0
4.596194077712559 0.01000068955854573 9.538546571448364e-09 0
4.737615433949869 0.009999753898356407 1.588216711563217e-08 0
4.879036790187178 0.01000024871368467 4.322518085947326e-09 0
5.020458146424487 0.009999735494933621 2.657887953183805e-08 0
5.161879502661797 0.01000056496180747 7.785468463793711e-10 0
5.303300858899107 0.01000003802974505 1.299317006586421e-09 0
