# ct=2.5 Nx=38
# r_cm T_keV E_over_aTkeV4 aluminum
0.07071067811865475 0.05591269887894597 0.02987518427199285 0
0.2121320343559643 0.05093564755904595 0.02490446888876756 0
0.3535533905932737 0.04356856503426595 0.01931423176772852 0
0.4949747468305832 0.03340303529710402 0.01196833670195846 0
0.6363961030678928 0.02580345617341249 0.00730688174761777 0
0.7778174593052023 0.06392991103771087 0.003632684067178009 1
0.9192388155425119 0.02479655126111167 0.0007624413958417422 1
1.060660171779821 0.01264271537588761 0.000353897478240796 1
1.202081528017131 0.01066622485427605 5.095755662716709e-05 1
1.34350288425444 0.01018781328463841 2.502955412145212e-05 1
1.48492424049175 0.01005118741920493 3.568240049023163e-05 1
1.626345596729059 0.01001816392423349 5.947435630689264e-07 1
1.767766952966369 0.0100078990680933 7.507363297169566e-07 1
1.909188309203678 0.01000302355377215 1.923270932635543e-07 1
2.050609665440988 0.01000131756778501 9.160629433187613e-08 1
2.192031021678297 0.01000073858963248 6.664164233184957e-09 1
2.333452377915607 0.01000010289677946 8.275057869838812e-08 1
2.474873734152916 0.0100001576026655 1.627188417287616e-08 1
2.616295090390226 0.009999969101692447 1.102785551802435e-08 1
2.757716446627535 0.00999992728650469 6.957643329334609e-09 1
2.899137802864845 0.009999986356252894 9.54678774602328e-09 1
3.040559159102154 0.01000008878724458 2.143204546211779e-08 1
3.181980515339464 0.009999988705332048 1.829259088676328e-09 1
3.323401871576773 0.01000005966322405 4.870711346114241e-09 1
3.464823227814083 0.009999952111276262 1.740426151261006e-08 1
3.606244584051392 0.009999976405016615 9.844193561923067e-09 0
3.747665940288702 0.009999719581796147 1.228117054177977e-08 0
3.889087296526011 0.01000007964806628 5.7216178745749e-09 0
4.030508652763321 0.009999908258248386 1.581475277059209e-08 0
4.17193000900063 0.01000002816184477 4.541171716665971e-09 0
4.313351365237939 0.01000011911633849 3.621435019853557e-09 0
4.454772721475249 0.009999800432041756 1.166815531268988e-08 0
4.596194077712559 0.01000049002450311 6.278974663153493e-09 0
4.737615433949869 0.009999768761318823 7.488570426886161e-09 0
4.879036790187178 0.009999941598156998 4.554525406074729e-09 0
5.020458146424487 0.009999962340075403 7.575411592277444e-09 0
5.161879502661797 0.010000354868709 5.806097548494483e-09 0
5.303300858899107 0.01000007054026199 1.206000337316317e-08 0
