# tau=1 epsilon=1 Xmax=40 Nx=128
# X u_radiation v_material T_material_over_Tbath
0.15625 0.4158243892497501 0.2109314184997688 0.677696617982755
0.46875 0.2630253028501794 0.1001916755322945 0.5626105993998664
0.78125 0.1634579432046757 0.04562497566337234 0.4621688399981053
1.09375 0.09111877125648586 0.01699587275516633 0.3610653955751854
1.40625 0.03996282610681979 0.003930728670493724 0.2503907416985474
1.71875 0.00494232605278408 0.0001522722342931243 0.1110849387873351
2.03125 3.274172004704015e-25 5.516027909004344e-25 8.618002459946542e-07
2.34375 3.994004363055287e-25 5.599261799964068e-25 8.650330355914889e-07
2.65625 4.436620385688089e-25 5.668040542825304e-25 8.676773026689686e-07
2.96875 4.273149463656656e-25 6.046911946027873e-25 8.81827038789577e-07
3.28125 5.087230353136462e-25 5.797321688361412e-25 8.725832054929196e-07
3.59375 4.091142975991128e-25 5.695891926877158e-25 8.687412334524577e-07
3.90625 3.795168901144255e-25 5.482397396816148e-25 8.604836607212341e-07
4.21875 3.412102018986463e-25 5.810388189648835e-25 8.730744662042606e-07
4.53125 4.997892689338078e-25 5.683152127648606e-25 8.68255054812685e-07
4.84375 4.629380610644057e-25 5.872058659554793e-25 8.753819680127963e-07
5.15625 4.086105348611658e-25 5.700652237805831e-25 8.689226880427116e-07
5.46875 4.965972365787802e-25 5.905977508648088e-25 8.766433590427786e-07
5.78125 3.955263763521087e-25 5.774324992277183e-25 8.717165790170267e-07
6.09375 3.899384992098548e-25 5.636505537678115e-25 8.664679128603142e-07
6.40625 3.999267897551216e-25 5.772141654385378e-25 8.716341658446907e-07
6.71875 4.693638798418308e-25 5.747732310470428e-25 8.707112050732142e-07
7.03125 4.630204196913983e-25 5.904276130774451e-25 8.765802169649246e-07
7.34375 4.380576794966573e-25 5.646424981604592e-25 8.668488764500006e-07
7.65625 3.684621021634445e-25 5.732353110895255e-25 8.701281795477813e-07
7.96875 4.637023579054358e-25 5.897093960526327e-25 8.763135194840006e-07
8.28125 5.076806044413007e-25 5.82779006610788e-25 8.737274389359375e-07
8.59375 4.436491065494449e-25 5.767076892305337e-25 8.714428991848793e-07
8.90625 3.697056380878533e-25 5.592241306581522e-25 8.647617580365529e-07
9.21875 3.623472828112884e-25 5.66352726910047e-25 8.67504525365102e-07
9.53125 4.251181206083734e-25 5.699512826039902e-25 8.688792660398628e-07
9.84375 4.2404179741551e-25 5.634488117704554e-25 8.663903708295324e-07
10.15625 4.618206733491297e-25 5.894787180324403e-25 8.762278095018354e-07
10.46875 3.796806421971042e-25 5.6816379089255e-25 8.681972145766531e-07
10.78125 4.507025727244698e-25 5.696002375699738e-25 8.687454448538448e-07
11.09375 3.680211157123391e-25 5.663421648684816e-25 8.675004807642292e-07
11.40625 4.481800577508111e-25 5.705540913348996e-25 8.69108917422182e-07
11.71875 4.375161764529832e-25 5.853926528577776e-25 8.747054185178896e-07
12.03125 3.975900792382668e-25 5.601657800832887e-25 8.651255606186013e-07
12.34375 5.08812439822074e-25 5.977742545462334e-25 8.792943886170263e-07
12.65625 4.287518573637474e-25 5.759822595106396e-25 8.711687269277041e-07
12.96875 4.214119376459624e-25 5.68717290596602e-25 8.684085847196731e-07
13.28125 4.818742297720354e-25 5.731798233797566e-25 8.701071222386699e-07
13.59375 4.250930472823596e-25 5.969559106731889e-25 8.789932988377334e-07
13.90625 4.105412516433858e-25 5.628540058355472e-25 8.661616285487102e-07
14.21875 3.708213124583271e-25 5.780763895351715e-25 8.719594884916032e-07
14.53125 3.942387171982174e-25 5.54670715160852e-25 8.629960527046301e-07
14.84375 3.491492786402948e-25 5.568730646254399e-25 8.638514230347091e-07
15.15625 4.774931663737189e-25 5.90714153881763e-25 8.766865510420823e-07
15.46875 4.493075989548086e-25 5.732601139061974e-25 8.701375915986162e-07
15.78125 3.68865003073213e-25 5.583769651374284e-25 8.644340661281061e-07
16.09375 4.107876601923886e-25 5.686383824637143e-25 8.683784607605558e-07
16.40625 4.436863067713253e-25 5.710924277849284e-25 8.693138530989188e-07
16.71875 4.185930563158943e-25 5.788804671547309e-25 8.722625443280673e-07
17.03125 5.363308398811029e-25 6.112616997022059e-25 8.842127972520255e-07
17.34375 4.53467869338038e-25 5.972894194706397e-25 8.791160426600787e-07
17.65625 4.805814728124823e-25 5.656242200025828e-25 8.672254200982338e-07
17.96875 3.482773883042012e-25 5.597848227530686e-25 8.649784345263531e-07
18.28125 3.507925242344862e-25 5.597948400326924e-25 8.649823041707014e-07
18.59375 4.152352305265834e-25 5.626375425216605e-25 8.660783390720544e-07
18.90625 3.880672819982139e-25 5.689810650293742e-25 8.685092604666355e-07
19.21875 4.406463522593774e-25 5.714226453016191e-25 8.694394896965247e-07
19.53125 4.558463857822953e-25 5.960742350833295e-25 8.786685610624343e-07
19.84375 4.77041081943212e-25 5.736717464002004e-25 8.702937512947473e-07
20.15625 4.496850992688488e-25 5.750939921364235e-25 8.70832658122115e-07
20.46875 4.488779812530097e-25 5.964661701606084e-25 8.788129626015803e-07
20.78125 3.979683374523424e-25 5.628154060347943e-25 8.66146778105352e-07
21.09375 3.865616516035495e-25 5.654332422965869e-25 8.671522081981372e-07
21.40625 4.054693592165326e-25 5.700393636989915e-25 8.689128335589909e-07
21.71875 4.325006964555947e-25 5.609603684750165e-25 8.65432190099493e-07
22.03125 4.242674087444837e-25 5.711565282473325e-25 8.69338245417904e-07
22.34375 3.670653218678141e-25 5.753268678947567e-25 8.709208024215709e-07
22.65625 4.346118032176391e-25 5.671888544453502e-25 8.678245305323178e-07
22.96875 4.222424602653566e-25 5.748849717993569e-25 8.707535203845485e-07
23.28125 4.530793995621024e-25 5.681021737127074e-25 8.681736746923328e-07
23.59375 4.061355775930076e-25 5.779686396219237e-25 8.71918853668596e-07
23.90625 4.653194604262709e-25 5.847172816562551e-25 8.744530210026877e-07
24.21875 4.328488971109453e-25 5.762470776689677e-25 8.712688435236665e-07
24.53125 3.731778423557837e-25 5.590533410693923e-25 8.646957249316405e-07
24.84375 4.54549686527303e-25 5.877209929815509e-25 8.755738873501312e-07
25.15625 4.970316209233049e-25 5.815697208324091e-25 8.732738324573435e-07
25.46875 4.085610925559927e-25 5.842966037818572e-25 8.742956961128582e-07
25.78125 4.109068351347115e-25 5.710824049756594e-25 8.693100389070891e-07
26.09375 4.379972998247365e-25 5.65437928792224e-25 8.671540050028284e-07
26.40625 3.640631336622819e-25 5.748934454597276e-25 8.707567290389649e-07
26.71875 4.558932800268027e-25 5.744130142917685e-25 8.705747519092402e-07
27.03125 4.771872254930191e-25 5.668458533472592e-25 8.67693298980451e-07
27.34375 4.315812859246859e-25 5.866268400523755e-25 8.751660912650204e-07
27.65625 3.850403448713322e-25 5.812064018746872e-25 8.731374123158879e-07
27.96875 4.295366585417072e-25 5.746080490770401e-25 8.706486407056192e-07
28.28125 4.281224599171313e-25 5.659594363065054e-25 8.67353881497231e-07
28.59375 4.151795570264294e-25 5.655888490641051e-25 8.672118619375096e-07
28.90625 4.679605777981362e-25 5.737113273887195e-25 8.703087625777524e-07
29.21875 3.984219513415207e-25 5.789701879561507e-25 8.722963404011758e-07
29.53125 4.686959053605944e-25 5.952140358490589e-25 8.783513860561312e-07
29.84375 4.430407729659986e-25 5.701831736376276e-25 8.689676308630268e-07
30.15625 4.398839271577386e-25 5.763540162734436e-25 8.713092627268829e-07
30.46875 3.593492978003014e-25 5.734891476327908e-25 8.702244897618532e-07
30.78125 4.16826150005634e-25 5.612262856337144e-25 8.655347340507737e-07
31.09375 3.944120062085459e-25 5.554751913419567e-25 8.633087979378094e-07
31.40625 4.400498362207432e-25 5.780687242010885e-25 8.719565979160049e-07
31.71875 4.539313290935825e-25 5.695755157948072e-25 8.687360183834407e-07
32.03125 3.852310545437937e-25 5.657469107704838e-25 8.672724442068327e-07
32.34375 4.263980317824121e-25 5.890527499154867e-25 8.760694720233448e-07
32.65625 4.668266256226136e-25 5.771038848089478e-25 8.71592529976214e-07
32.96875 4.240631659572583e-25 5.772938514153225e-25 8.7166424715098e-07
33.28125 4.409980450371769e-25 5.723655236698721e-25 8.697979235671824e-07
33.59375 3.061500853906341e-25 5.486135255939554e-25 8.606302911303437e-07
33.90625 5.463525892134022e-25 5.919837364491791e-25 8.771572228639705e-07
34.21875 4.073359577769227e-25 5.787619611331214e-25 8.722178994030051e-07
34.53125 4.379118322553098e-25 6.011463759298819e-25 8.805318271374526e-07
34.84375 4.849085342456682e-25 5.722929147657764e-25 8.697703371403219e-07
35.15625 3.948752237673596e-25 5.533174095183101e-25 8.624691781674505e-07
35.46875 3.713493908063636e-25 5.724629030952513e-25 8.698349169809564e-07
35.78125 4.830661777705375e-25 6.004928894476264e-25 8.802924302174887e-07
36.09375 4.242892691929566e-25 5.75882774342078e-25 8.711311068533121e-07
36.40625 4.368174211484516e-25 5.572487017251937e-25 8.639970633131968e-07
36.71875 3.736090542646501e-25 5.466566618369703e-25 8.598618113441166e-07
37.03125 3.850928828959554e-25 5.761355173393665e-25 8.712266714673997e-07
37.34375 4.440468671506458e-25 5.839852202748745e-25 8.741791903513857e-07
37.65625 4.413900450567484e-25 5.804153285864088e-25 8.728401562512882e-07
37.96875 4.156168293942398e-25 5.531270358369664e-25 8.623949835830078e-07
38.28125 4.196826580600375e-25 5.800290506652639e-25 8.726948968819009e-07
38.59375 4.837770367414547e-25 5.911905457905701e-25 8.768632524674863e-07
38.90625 4.519285880874498e-25 5.76531458228481e-25 8.713763174225758e-07
39.21875 3.855055774791073e-25 5.689961288529631e-25 8.685150088742717e-07
39.53125 3.927370791201086e-25 5.671876484944887e-25 8.678240692421467e-07
39.84375 4.388728430787558e-25 5.715332796321218e-25 8.694815701397899e-07
