# tau=10 epsilon=1 Xmax=40 Nx=128
# X u_radiation v_material T_material_over_Tbath
0.15625 0.7117551594254465 0.6902683366079396 0.9114954142773695
0.46875 0.6267091254566942 0.6024570725073831 0.8810113973676023
0.78125 0.5481619495238046 0.5246769713663196 0.8510851262213849
1.09375 0.4763813489079277 0.4571913295795184 0.8222890298933642
1.40625 0.425253485051343 0.3937152624997913 0.7921283606760536
1.71875 0.3542191180511218 0.3399486827728012 0.7635778831688974
2.03125 0.3204976528994684 0.2899270246960899 0.7337906517404803
2.34375 0.2774285416627963 0.2488722839113719 0.7063080130448413
2.65625 0.2320999101249178 0.211031919032894 0.6777773275162962
2.96875 0.2023974732542813 0.1793200632434188 0.6507395772516669
3.28125 0.1715599610170819 0.1504414375540815 0.6227903414320783
3.59375 0.1475943500183608 0.1247137500522112 0.5942628543082227
3.90625 0.1179126777522598 0.1025773843729819 0.5659302458398575
4.21875 0.09972358016764873 0.08496369331920922 0.5398938068250098
4.53125 0.084337635207776 0.07069177474149815 0.515634801407057
4.84375 0.06947840411870944 0.05742994678462552 0.4895359645590341
5.15625 0.05778508107704484 0.04695460430004407 0.465499850933236
5.46875 0.04677584970100757 0.03794931334505806 0.441368139977496
5.78125 0.03710678227895585 0.03097344632965685 0.4195148925904538
6.09375 0.03049573233636328 0.02496281024432755 0.3974874021972811
6.40625 0.02645335958088776 0.02016330474328543 0.3768256253121249
6.71875 0.0200029008160557 0.01584474819126808 0.354789971384611
7.03125 0.01644953898757959 0.01259978180162102 0.3350354453877697
7.34375 0.01342740529364259 0.01031098810890744 0.3186581801051718
7.65625 0.01152501496985708 0.008038364820486565 0.299427668156764
7.96875 0.007875833409937536 0.006203646146896061 0.2806478725966971
8.28125 0.006511641688776324 0.004923110180619076 0.2648865389947434
8.59375 0.005243403939944729 0.003754389637042551 0.2475339861986904
8.90625 0.00430694968706931 0.003066266206748283 0.2353165454727712
9.21875 0.00355346393793187 0.002390016574229687 0.2211058474115342
9.53125 0.002581956766496762 0.001796076240088526 0.205864372073816
9.84375 0.002122308323081148 0.001365104009161444 0.1922168410001982
