# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (Gentile 2001).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
0.10967313,0.17718371,0.049754042,0.049990544,0.049819794,0.049641352
0.11288379,0.18141174,0.049857298,0.049990382,0.049819847,0.049641372
0.11618844,0.18576354,0.049969642,0.049990215,0.049819901,0.049641393
0.11958983,0.19024274,0.050085275,0.049990043,0.049819958,0.049641414
0.12309079,0.19485307,0.050204293,0.049989866,0.049820015,0.049641435
0.12669425,0.19959837,0.050326795,0.049989684,0.049820075,0.049641458
0.13040319,0.20382753,0.050452883,0.049989497,0.049820136,0.049641481
0.13422072,0.20763419,0.050582663,0.049989304,0.049820199,0.049641504
0.13815,0.21149476,0.050716242,0.049989105,0.049820264,0.049641529
0.14219431,0.21546577,0.050853731,0.049988901,0.049820331,0.049641554
0.14635701,0.21955303,0.050995245,0.049988691,0.0498204,0.04964158
0.15064158,0.22408462,0.051140903,0.049988474,0.049820471,0.049641606
0.15505158,0.22910593,0.05127495,0.049988252,0.049820544,0.049641633
0.15959068,0.23544911,0.051403648,0.049988022,0.049820619,0.049641662
0.16426266,0.24197799,0.051527782,0.049987786,0.049820696,0.04964169
0.16907141,0.24869691,0.051655551,0.049987543,0.049820775,0.04964172
0.17402094,0.25507498,0.051787059,0.049987293,0.049820857,0.049641751
0.17911536,0.2610913,0.051922417,0.049987036,0.049820941,0.049641783
0.18435892,0.26648603,0.052061738,0.049986771,0.049821028,0.049641815
0.18975599,0.27203869,0.052205138,0.049986499,0.049821117,0.049641848
0.19531105,0.27775389,0.052352735,0.049986218,0.049821209,0.049641883
0.20102874,0.28363641,0.052504654,0.049985929,0.049821303,0.049641918
0.20691381,0.28969114,0.05266102,0.049985632,0.0498214,0.049641955
0.21297116,0.29589233,0.052818237,0.049985326,0.049821501,0.049641992
0.21920585,0.30163275,0.05297667,0.049985011,0.049821604,0.049642031
0.22562305,0.30745561,0.053122382,0.049984687,0.04982171,0.049642071
0.23222811,0.313345,0.053271211,0.049984353,0.049821819,0.049642112
0.23902653,0.31940681,0.053424397,0.04998401,0.049821931,0.049642154
0.24602398,0.32520327,0.053582068,0.049983656,0.049822047,0.049642197
0.25322628,0.329973,0.053744354,0.049983292,0.049822166,0.049642242
0.26063942,0.33467255,0.053911391,0.049982918,0.049822288,0.049642288
0.26826958,0.33941034,0.054083319,0.049982533,0.049822414,0.049642335
0.27612311,0.34428684,0.054260279,0.049982136,0.049822544,0.049642384
0.28420655,0.3486265,0.05444242,0.049981728,0.049822678,0.049642434
0.29252663,0.35240264,0.054629893,0.049981307,0.049822815,0.049642485
0.30109028,0.35508143,0.054822854,0.049980875,0.049822957,0.049642538
0.30990463,0.35771517,0.055021464,0.049980429,0.049823102,0.049642593
0.31897702,0.36042601,0.055233152,0.049979971,0.049823252,0.049642649
0.328315,0.36321621,0.055475747,0.049979499,0.049823406,0.049642707
0.33792635,0.36608809,0.055784571,0.049979014,0.049823565,0.049642767
0.34781907,0.36904405,0.056136018,0.049978514,0.049823729,0.049642828
0.35800139,0.37205676,0.056497753,0.049978,0.049823897,0.049642891
0.3684818,0.37513233,0.056870079,0.04997747,0.04982407,0.049642956
0.37926902,0.37657626,0.057253304,0.049976926,0.049824248,0.049643023
0.39037203,0.37797596,0.057647747,0.049976365,0.049824432,0.049643091
0.40180009,0.37941663,0.058053738,0.049975787,0.049824621,0.049643162
0.41356269,0.38089948,0.058471615,0.049975193,0.049824815,0.049643235
0.42566965,0.38242573,0.058901724,0.049974582,0.049825015,0.04964331
0.43813103,0.38399667,0.059342807,0.049973952,0.049825221,0.049643387
0.45095721,0.38561359,0.059783427,0.049973304,0.049825433,0.049643467
0.46415888,0.38727786,0.060236782,0.049972637,0.049825651,0.049643549
0.47774703,0.38899084,0.060703256,0.049971951,0.049825876,0.049643633
0.49173296,0.39075397,0.061183385,0.049971245,0.049826107,0.04964372
0.50612834,0.39256871,0.061677569,0.049970517,0.049826345,0.049643809
0.52094513,0.39443658,0.062186221,0.049969769,0.049826589,0.049643901
0.53619568,0.39622094,0.062709764,0.049968999,0.049826841,0.049643995
0.55189268,0.39757113,0.063248633,0.049968206,0.049827101,0.049644092
0.56804922,0.3986954,0.063803278,0.04996739,0.049827368,0.049644192
0.58467873,0.3996962,0.064410679,0.04996655,0.049827642,0.049644295
0.60179506,0.4007263,0.065062963,0.049965685,0.049827925,0.049644401
0.61941248,0.40178656,0.065741704,0.049964795,0.049828216,0.049644511
0.63754564,0.40287785,0.066440399,0.049963879,0.049828516,0.049644623
0.65620964,0.40400109,0.067159549,0.049962936,0.049828824,0.049644739
0.67542003,0.40515722,0.067899751,0.049961966,0.049829142,0.049644858
0.6951928,0.40634719,0.068661623,0.049960967,0.049829469,0.04964498
0.71554441,0.40757199,0.069445798,0.049959939,0.049829805,0.049645106
0.73649181,0.40883265,0.07025293,0.049958881,0.049830151,0.049645236
0.75805244,0.41013022,0.071085302,0.049957792,0.049830507,0.04964537
0.78024425,0.41146577,0.071976117,0.049956671,0.049830874,0.049645507
0.80308572,0.41284043,0.072950401,0.049955517,0.049831251,0.049645649
0.82659587,0.41333052,0.074022349,0.04995433,0.04983164,0.049645794
0.85079428,0.4137305,0.075125677,0.049953107,0.04983204,0.049645944
0.87570109,0.41413248,0.076261305,0.049951849,0.049832451,0.049646099
0.90133704,0.41454622,0.077430178,0.049950554,0.049832875,0.049646257
0.92772348,0.41497208,0.07863327,0.049949221,0.049833311,0.049646421
0.95488237,0.41541041,0.079871582,0.049947849,0.04983376,0.049646589
0.98283633,0.41586157,0.081146145,0.049946437,0.049834221,0.049646762
1.0116086,0.41632593,0.082458021,0.049944984,0.049834697,0.049646941
1.0412233,0.41680389,0.083808301,0.049943488,0.049835186,0.049647124
1.0717048,0.41729584,0.08574479,0.049941948,0.04983569,0.049647313
1.1030787,0.41780219,0.087793727,0.049940363,0.049836208,0.049647508
1.1353711,0.41832337,0.08992468,0.049938732,0.049836742,0.049647708
1.1686089,0.41885981,0.092118017,0.049937053,0.049837291,0.049647914
1.2028196,0.41941194,0.094375563,0.049935325,0.049837856,0.049648126
1.2380319,0.41998024,0.096699198,0.049933546,0.049838438,0.049648344
1.274275,0.42056518,0.099077539,0.049931716,0.049839037,0.049648568
1.3115791,0.42116724,0.10151535,0.049929831,0.049839653,0.049648799
1.3499753,0.42176297,0.10349374,0.049927892,0.049840288,0.049649037
1.3894955,0.42233985,0.10552031,0.049925895,0.049840941,0.049649282
1.4301727,0.42290367,0.10760621,0.049923841,0.049841613,0.049649534
1.4720406,0.42347686,0.10975317,0.049921726,0.049842305,0.049649794
1.5151343,0.42406684,0.1120461,0.049919549,0.049843017,0.049650061
1.5594895,0.42467409,0.11471164,0.049917308,0.04984375,0.049650335
1.6051432,0.42529911,0.11769655,0.049915002,0.049844504,0.049650618
1.6521334,0.42594243,0.12091406,0.049912629,0.049845281,0.04965091
1.7004992,0.42660459,0.12422575,0.049910186,0.04984608,0.049651209
1.750281,0.42728613,0.1276344,0.049907671,0.049846902,0.049651518
